time,flopop,patient,confirmation,index
0.0,457368.4210526347,4.0,1.0,0
1.0,-1326818.1818181723,-2.0,-1.0,0
2.0,-1195741.6267942637,0.0,0.0,0
3.0,654928.2296650708,1.0,0.0,0
4.0,18578014.354066983,6.0,0.0,0
5.0,-16492368.421052635,12.0,1.0,0
6.0,-4092775.1196172237,-10.0,2.0,0
7.0,2260311.0047846884,-2.0,0.0,0
8.0,-565861.2440191358,24.0,2.0,0
9.0,357535.8851674646,-1.0,-3.0,0
10.0,36985.645933017135,-23.0,-1.0,0
11.0,823899.521531105,-8.0,-1.0,0
12.0,-1501052.631578952,1.0,0.0,0
13.0,-1011746.411483258,-2.0,0.0,0
14.0,2449330.1435406655,9.0,1.0,0
15.0,-1053301.4354066849,-3.0,-1.0,0
16.0,-449186.60287082195,5.0,1.0,0
17.0,-5528325.358851671,9.0,0.0,0
0.0,1046770.3349282444,0.0,0.0,1
1.0,2169497.6076554954,0.0,0.0,1
2.0,-1153851.6746411473,0.0,0.0,1
3.0,-281531.1004784703,7.0,0.0,1
4.0,17449090.909090906,4.0,1.0,1
5.0,-16151148.325358853,6.0,-1.0,1
6.0,-4471196.172248796,11.0,5.0,1
7.0,3199784.6889952123,7.0,2.0,1
8.0,-135215.31100478768,-7.0,-1.0,1
9.0,1108181.8181818128,-22.0,3.0,1
10.0,146052.63157895207,-2.0,-8.0,1
11.0,43133.97129186988,-4.0,1.0,1
12.0,-365693.77990430593,0.0,-2.0,1
13.0,-2260119.617224887,0.0,0.0,1
14.0,2079808.6124401987,7.0,2.0,1
15.0,854473.684210524,-1.0,2.0,1
16.0,-292440.19138756394,17.0,-3.0,1
17.0,-5821866.02870813,-12.0,1.0,1
0.0,1987727.272727266,0.0,0.0,2
1.0,-830789.4736842066,0.0,0.0,2
2.0,-935909.0909090936,0.0,0.0,2
3.0,449952.1531100422,7.0,0.0,2
4.0,20905454.545454547,11.0,1.0,2
5.0,-18069401.913875595,12.0,3.0,2
6.0,-4725717.703349277,-16.0,5.0,2
7.0,2580311.0047846884,-10.0,-7.0,2
8.0,-358516.74641148746,6.0,-1.0,2
9.0,832607.6555023938,-4.0,3.0,2
10.0,372942.58373205364,0.0,-3.0,2
11.0,1025813.397129193,-4.0,-1.0,2
12.0,-1664019.1387559772,-2.0,0.0,2
13.0,-1914401.9138756096,1.0,0.0,2
14.0,2623325.358851686,30.0,0.0,2
15.0,-554473.684210524,-11.0,2.0,2
16.0,-704066.9856459349,-3.0,1.0,2
17.0,-6151363.63636364,-6.0,-2.0,2
0.0,841866.0287081301,0.0,0.0,3
1.0,1668540.669856459,0.0,0.0,3
2.0,-1383875.5980861187,0.0,0.0,3
3.0,49808.61244019866,5.0,1.0,3
4.0,20553684.210526317,10.0,-1.0,3
5.0,-18063732.057416275,59.0,0.0,3
6.0,-5697942.583732054,-48.0,17.0,3
7.0,2343899.52153109,0.0,-12.0,3
8.0,-298995.2153110057,-25.0,1.0,3
9.0,803732.0574162751,1.0,-1.0,3
10.0,104306.22009569407,-2.0,-5.0,3
11.0,-477177.0334928185,0.0,0.0,3
12.0,220167.4641148299,0.0,0.0,3
13.0,-3426052.631578952,0.0,0.0,3
14.0,2638684.2105263174,5.0,0.0,3
15.0,2233899.521531105,0.0,0.0,3
16.0,-832727.2727272809,-2.0,1.0,3
17.0,-6679043.062200949,-1.0,4.0,3
0.0,4153014.354066968,2.0,0.0,4
1.0,16380693.779904306,-2.0,0.0,4
2.0,2190406.698564589,1.0,0.0,4
3.0,-2707200.95693779,19.0,0.0,4
4.0,16447105.263157904,8.0,7.0,4
5.0,-27740382.775119632,-9.0,-3.0,4
6.0,-6603755.980861247,0.0,-1.0,4
7.0,6794904.306220114,-13.0,0.0,4
8.0,-186483.25358852744,3.0,14.0,4
9.0,912224.8803827763,-2.0,-1.0,4
10.0,1115358.8516746461,-5.0,-7.0,4
11.0,-7894090.909090906,-2.0,-6.0,4
12.0,10513325.358851671,0.0,-3.0,4
13.0,-9711602.8708134,0.0,2.0,4
14.0,-1537607.655502379,7.0,-1.0,4
15.0,14588062.20095694,0.0,5.0,4
16.0,-1190933.01435408,-1.0,-5.0,4
17.0,-10207200.95693779,-2.0,1.0,4
0.0,-385574.1626794338,1.0,0.0,5
1.0,7895478.468899533,0.0,0.0,5
2.0,2054808.6124401838,2.0,0.0,5
3.0,-3214521.5311004817,3.0,0.0,5
4.0,2006578.947368428,1.0,0.0,5
5.0,-9268971.291866034,8.0,0.0,5
6.0,-3478373.2057416216,-2.0,1.0,5
7.0,2755789.473684214,-11.0,-1.0,5
8.0,-86626.794258371,13.0,5.0,5
9.0,856985.6459330022,-11.0,-1.0,5
10.0,1295000.0,-4.0,-4.0,5
11.0,-5109521.531100474,-1.0,1.0,5
12.0,6972751.196172245,0.0,-1.0,5
13.0,-4220717.703349277,3.0,0.0,5
14.0,-1980502.3923445046,9.0,1.0,5
15.0,7491985.645933017,-5.0,4.0,5
16.0,-343373.205741629,-4.0,-5.0,5
17.0,-2477392.344497606,4.0,2.0,5
0.0,823181.8181818128,4.0,3.0,6
1.0,4535980.861244023,4.0,-3.0,6
2.0,2156172.248803824,-6.0,0.0,6
3.0,-2189904.3062200993,5.0,6.0,6
4.0,3511028.7081339806,5.0,-4.0,6
5.0,-9760478.468899533,-11.0,-2.0,6
6.0,-2310023.9234449714,4.0,0.0,6
7.0,2734425.837320581,3.0,0.0,6
8.0,205861.24401913583,12.0,2.0,6
9.0,845526.315789476,-14.0,1.0,6
10.0,1183038.2775119543,1.0,-3.0,6
11.0,-2712177.0334928185,-4.0,0.0,6
12.0,4156889.9521531016,-3.0,0.0,6
13.0,-1957511.9617224783,0.0,0.0,6
14.0,-1585000.0,13.0,1.0,6
15.0,5351148.325358853,-13.0,-1.0,6
16.0,377990.4306220114,0.0,1.0,6
17.0,-3226459.330143541,1.0,0.0,6
0.0,1145263.1578947455,0.0,0.0,7
1.0,-1284641.1483253688,0.0,0.0,7
2.0,-1555430.6220095605,3.0,0.0,7
3.0,466387.55980861187,6.0,0.0,7
4.0,21416913.875598088,-2.0,7.0,7
5.0,-18862559.80861245,3.0,-6.0,7
6.0,-4382535.885167465,2.0,7.0,7
7.0,2776435.4066985697,-11.0,-5.0,7
8.0,-322655.5023923367,5.0,-1.0,7
9.0,1051818.1818181723,1.0,3.0,7
10.0,243875.5980861336,-2.0,-4.0,7
11.0,1104736.8421052545,-5.0,0.0,7
12.0,-1933755.9808612466,0.0,-1.0,7
13.0,-1463277.5119617134,2.0,0.0,7
14.0,2558636.3636363596,2.0,0.0,7
15.0,-1150215.3110047877,7.0,2.0,7
16.0,-593229.6650717705,-6.0,-2.0,7
17.0,-6322822.9665071815,8.0,5.0,7
0.0,2071866.0287081301,0.0,-1.0,8
1.0,395239.234449774,0.0,0.0,8
2.0,-910669.8564593494,1.0,0.0,8
3.0,32966.50717705488,-1.0,0.0,8
4.0,26034569.377990425,11.0,1.0,8
5.0,-23795095.693779916,10.0,0.0,8
6.0,-5797105.263157904,-11.0,9.0,8
7.0,3668827.751196176,-8.0,-5.0,8
8.0,-791052.6315789223,6.0,-1.0,8
9.0,753755.9808612168,2.0,-3.0,8
10.0,168325.35885170102,0.0,1.0,8
11.0,266889.95215308666,-8.0,-2.0,8
12.0,-376483.25358849764,-2.0,1.0,8
13.0,-3106746.411483258,0.0,-1.0,8
14.0,2671459.330143541,17.0,2.0,8
15.0,658468.8995215297,-15.0,1.0,8
16.0,-542081.3397129178,3.0,-2.0,8
17.0,-7974784.688995212,2.0,12.0,8
0.0,1795956.9377990365,0.0,0.0,9
1.0,6578803.827751204,0.0,0.0,9
