time,flopop,patient,confirmation,index
0.0,102676531.10047847,0.0,0.0,0
1.0,103133899.5215311,4.0,1.0,0
2.0,101807081.33971293,2.0,0.0,0
3.0,100611339.71291867,2.0,0.0,0
4.0,101266267.94258374,3.0,0.0,0
5.0,119844282.29665072,9.0,0.0,0
6.0,103351913.87559809,21.0,1.0,0
7.0,99259138.75598086,11.0,3.0,0
8.0,101519449.76076555,9.0,3.0,0
9.0,100953588.51674642,33.0,5.0,0
10.0,101311124.40191388,32.0,2.0,0
11.0,101348110.0478469,9.0,1.0,0
12.0,102172009.569378,1.0,0.0,0
13.0,100670956.93779905,2.0,0.0,0
14.0,99659210.5263158,0.0,0.0,0
15.0,102108540.66985646,9.0,1.0,0
16.0,101055239.23444977,6.0,0.0,0
17.0,100606052.63157895,11.0,1.0,0
18.0,95077727.27272728,20.0,1.0,0
0.0,104901770.33492823,0.0,0.0,1
1.0,105948540.66985647,0.0,0.0,1
2.0,108118038.27751197,0.0,0.0,1
3.0,106964186.60287082,0.0,0.0,1
4.0,106682655.50239235,7.0,0.0,1
5.0,124131746.41148326,11.0,1.0,1
6.0,107980598.0861244,17.0,0.0,1
7.0,103509401.91387561,28.0,5.0,1
8.0,106709186.60287082,35.0,7.0,1
9.0,106573971.29186603,28.0,6.0,1
10.0,107682153.11004785,6.0,9.0,1
11.0,107828205.7416268,4.0,1.0,1
12.0,107871339.71291867,0.0,2.0,1
13.0,107505645.93301436,0.0,0.0,1
14.0,105245526.31578948,0.0,0.0,1
15.0,107325334.92822967,7.0,2.0,1
16.0,108179808.6124402,6.0,4.0,1
17.0,107887368.42105263,23.0,1.0,1
18.0,102065502.3923445,11.0,2.0,1
0.0,111303325.35885169,0.0,0.0,2
1.0,113291052.63157895,0.0,0.0,2
2.0,112460263.15789475,0.0,0.0,2
3.0,111524354.06698565,0.0,0.0,2
4.0,111974306.2200957,7.0,0.0,2
5.0,132879760.76555024,18.0,1.0,2
6.0,114810358.85167465,30.0,4.0,2
7.0,110084641.14832537,14.0,9.0,2
8.0,112664952.15311006,4.0,2.0,2
9.0,112306435.40669857,10.0,1.0,2
10.0,113139043.06220096,6.0,4.0,2
11.0,113511985.64593302,6.0,1.0,2
12.0,114537799.04306221,2.0,0.0,2
13.0,112873779.90430623,0.0,0.0,2
14.0,110959377.99043062,1.0,0.0,2
15.0,113582703.34928231,31.0,0.0,2
16.0,113028229.66507179,20.0,2.0,2
17.0,112324162.67942585,17.0,3.0,2
18.0,106172799.04306221,11.0,1.0,2
0.0,120320430.62200958,0.0,0.0,3
1.0,121162296.6507177,0.0,0.0,3
2.0,122830837.32057416,0.0,0.0,3
3.0,121446961.72248805,0.0,0.0,3
4.0,121496770.33492824,5.0,1.0,3
5.0,142050454.54545456,15.0,0.0,3
6.0,123986722.48803829,74.0,0.0,3
7.0,118288779.90430623,26.0,17.0,3
8.0,120632679.42583732,26.0,5.0,3
9.0,120333684.21052632,1.0,6.0,3
10.0,121137416.26794259,2.0,5.0,3
11.0,121241722.48803829,0.0,0.0,3
12.0,120764545.45454547,0.0,0.0,3
13.0,120984712.9186603,0.0,0.0,3
14.0,117558660.28708135,0.0,0.0,3
15.0,120197344.49760766,5.0,0.0,3
16.0,122431244.01913877,5.0,0.0,3
17.0,121598516.74641149,3.0,1.0,3
18.0,114919473.68421054,2.0,5.0,3
0.0,186803803.82775122,0.0,0.0,4
1.0,190956818.1818182,2.0,0.0,4
2.0,207337511.9617225,0.0,0.0,4
