Source,Target,Weight
US,GB,311.8674115131383
US,FR,291.54087263599547
US,ES,199.394312781254
US,IT,316.90952875693574
US,DE,295.9267534996613
US,MX,491.49706678620464
US,CA,551.8782913649276
US,JP,399.691993228107
US,NL,357.16891382519105
US,BR,381.100082047441
US,TH,382.54102881362473
US,ID,389.80053329104817
US,MY,389.1455775310146
US,SG,398.0600167296643
US,BE,353.7474935860113
US,AE,388.93642952508264
US,AU,386.47211941206245
US,CH,367.0066874231029
US,PH,393.1386738840967
US,IE,333.71078299074543
US,PT,346.63666558505594
US,AR,379.0289795656313
US,TR,397.95457444470793
US,RU,393.17489355900847
US,KW,402.86673809925225
US,CN,410.21424109364006
US,IN,392.44180587898524
US,HK,397.4729353928553
US,AT,397.34823756906593
GB,US,554.087330199186
GB,FR,84.2945840579564
GB,ES,174.6833116094246
GB,IT,232.4976449504095
GB,DE,209.81047188428178
GB,MX,224.5842453209774
GB,CA,221.20458387720268
GB,JP,375.974238972188
GB,NL,292.5495067216135
GB,BR,352.5332347679075
GB,TH,419.6320180202626
GB,ID,424.04200600479123
GB,MY,420.32784785904204
GB,SG,426.6625958270713
GB,BE,316.2904224498726
GB,AE,372.94652909222964
GB,AU,375.230553343278
GB,CH,338.09768147353395
GB,PH,394.0263459260806
GB,IE,339.1966315843912
GB,PT,332.7170434138891
GB,AR,396.81269587595295
GB,TR,377.92466993081973
GB,RU,393.44825001978006
GB,KW,388.73708503814265
GB,CN,395.28395279978383
GB,IN,372.7383889055261
GB,HK,414.77410016682666
GB,AT,370.8399721987614
FR,US,334.3657270100638
FR,GB,304.9603120175795
FR,ES,393.4791805843437
FR,IT,361.16280932632947
FR,DE,356.8557698958696
FR,MX,303.79806943078336
FR,CA,279.2652620844267
FR,JP,355.5584740618115
FR,NL,361.2426359893573
FR,BR,398.64874209889905
FR,TH,357.29559665212764
FR,ID,367.4278511164412
FR,MY,370.945702701497
FR,SG,360.24267607160357
FR,BE,413.4711107921738
FR,AE,385.7267884251534
FR,AU,377.53548450997584
FR,CH,412.20579712789726
FR,PH,380.0195746450856
FR,IE,369.25296381923397
FR,PT,374.6246201537764
FR,AR,403.704451059805
FR,TR,400.1101957703749
FR,RU,406.97294255199984
FR,KW,396.1319974641434
FR,CN,384.8576636549485
FR,IN,389.5263099983955
FR,HK,397.9176584004498
FR,AT,394.28231293882556
ES,US,306.0984437924762
ES,GB,426.14605962235225
ES,FR,340.812011734251
ES,IT,368.00247096135513
ES,DE,343.3891111039474
ES,MX,321.02309573777706
ES,CA,340.5140178384463
ES,JP,402.06631687304474
ES,NL,373.80135484493707
ES,BR,377.78280668488566
ES,TH,419.4938652081344
ES,ID,427.21935706514813
ES,MY,427.1102725028546
ES,SG,434.9134189912944
ES,BE,407.15529134770924
ES,AE,390.57842921058784
ES,AU,387.03278213550686
ES,CH,388.9914805679835
ES,PH,414.24846567281014
ES,IE,325.96299847662476
ES,PT,417.5507497428956
ES,AR,408.23136544357874
ES,TR,397.4673888875467
ES,RU,408.2198988101294
ES,KW,396.57882955019284
ES,CN,412.6649596708765
ES,IN,394.6080084946543
ES,HK,420.077440232564
ES,AT,405.8869837069738
IT,US,406.2578250291271
IT,GB,308.5416682679037
IT,FR,330.23603339111304
IT,ES,325.3429345739364
IT,DE,356.82934288556515
IT,MX,358.7732584697369
IT,CA,349.78144062967374
IT,JP,384.03096944279736
IT,NL,386.10703759366186
IT,BR,392.7579535661915
IT,TH,397.2705905667451
IT,ID,404.8652119237476
IT,MY,401.73854880127425
IT,SG,401.5829361353989
IT,BE,392.4586380771973
IT,AE,399.50795266011335
IT,AU,394.0987517406455
IT,CH,392.377014031766
IT,PH,404.5224922099412
IT,IE,377.4568804509119
IT,PT,395.2196557680585
IT,AR,402.686048747768
IT,TR,400.8223181734952
IT,RU,409.25463591575794
IT,KW,403.90757649622304
IT,CN,405.7099312381846
IT,IN,397.34766691880475
IT,HK,407.70167818333994
IT,AT,406.34402339331797
DE,US,388.3482263164907
DE,GB,360.8910168037908
DE,FR,341.2620002436271
DE,ES,331.2662812973128
DE,IT,381.4674222805863
DE,MX,342.04474268872605
DE,CA,311.96270197084806
DE,JP,394.63005946274507
DE,NL,351.08164508094035
DE,BR,389.3010605144505
DE,TH,408.8413725354152
DE,ID,414.27497363554454
DE,MY,422.7536254911999
DE,SG,410.61778587930564
DE,BE,396.7931420706187
DE,AE,393.44741092239025
DE,AU,398.0726842441459
DE,CH,389.00225671155897
DE,PH,410.975557359122
DE,IE,380.7665506525063
DE,PT,402.5236794359414
DE,AR,409.9113047689674
DE,TR,401.7980219169854
DE,RU,411.73459993888883
DE,KW,402.4167998259627
DE,CN,405.0068801571731
DE,IN,402.1975945941941
DE,HK,415.4483422559687
DE,AT,398.6161216018884
MX,US,507.0206810433475
MX,GB,128.32957352831454
MX,FR,364.8565779846835
MX,ES,463.74513777882794
MX,IT,344.5175515617454
MX,DE,346.8200279163238
MX,CA,33.711368566809256
MX,JP,291.3308703561259
MX,NL,411.5614264300084
MX,BR,342.30492547992077
MX,TH,364.25277440049217
MX,ID,362.98190190109773
MX,MY,372.8199111725976
MX,SG,360.7153457484057
MX,BE,403.3986584386814
MX,AE,396.3087501534693
MX,AU,360.3395376831056
MX,CH,399.7089379984592
MX,PH,353.98499461810746
MX,IE,440.3560973431528
MX,PT,421.7616006967521
MX,AR,395.09490579896567
MX,TR,409.5657319926399
MX,RU,402.7534299997353
MX,KW,412.84564648562264
MX,CN,377.18757870307843
MX,IN,370.5620074233007
MX,HK,391.5596832682933
MX,AT,403.40331967414386
CA,US,481.9871465639928
CA,GB,118.56033948570325
CA,FR,382.44483833091334
CA,ES,447.850624873318
CA,IT,344.9603233644054
CA,DE,370.08169040401845
CA,MX,0.0
CA,JP,296.57909414787343
CA,NL,427.25040285825276
CA,BR,331.8096609636469
CA,TH,373.79798705486263
CA,ID,373.909213722024
CA,MY,386.69166717470296
CA,SG,376.3007911176419
CA,BE,423.7887017204161
CA,AE,396.2852488415587
CA,AU,363.0538601488922
CA,CH,407.06402201981325
CA,PH,357.8187279550591
CA,IE,432.0111763518436
CA,PT,426.61384278383457
CA,AR,391.871269676257
CA,TR,411.23295388126616
CA,RU,403.79554596600207
CA,KW,412.0779732916606
CA,CN,386.1570849560206
CA,IN,377.10790131541523
CA,HK,395.7773236745598
CA,AT,414.273104455252
JP,US,393.37178691237267
JP,GB,320.6405574886865
JP,FR,425.1133695495409
JP,ES,415.3263374736167
JP,IT,404.7458987876581
JP,DE,408.6142932954772
JP,MX,308.5569139031754
JP,CA,310.8095286089673
JP,NL,417.83399453828895
JP,BR,382.2511180896896
JP,TH,483.8976853874287
JP,ID,477.3623762229702
JP,MY,522.2516601279382
JP,SG,527.6425592630025
JP,BE,408.9496868413881
JP,AE,427.53478080353767
JP,AU,439.33768657295553
JP,CH,401.4720674962807
JP,PH,449.427532414005
JP,IE,423.4372388817845
JP,PT,422.6904861198471
JP,AR,401.5028500281157
JP,TR,422.6876731505965
JP,RU,413.7716704941791
JP,KW,418.74012948826794
JP,CN,432.9079581935434
JP,IN,415.4326022761785
JP,HK,461.09720872363937
JP,AT,411.6177724576756
NL,US,366.5714449756826
NL,GB,420.47701155900836
NL,FR,348.79956527339374
NL,ES,317.2343918975161
NL,IT,391.26113005591
NL,DE,371.137777964876
NL,MX,387.4344538840777
NL,CA,357.35638349222756
NL,JP,400.13160179528523
NL,BR,401.7351274375393
NL,TH,405.63592839582225
NL,ID,411.0901419435908
NL,MY,423.10242817574937
NL,SG,413.6346468232562
NL,BE,404.527416916987
NL,AE,403.8323288086414
NL,AU,397.60930276396795
NL,CH,408.54562585013196
NL,PH,414.29629312293497
NL,IE,365.07804336152094
NL,PT,413.70548825805395
NL,AR,414.27511802423413
NL,TR,405.67840065143866
NL,RU,410.8141444941295
NL,KW,404.19890744229974
NL,CN,407.81797057747485
NL,IN,398.86885888518367
NL,HK,415.6922256928525
NL,AT,404.03085409631746
BR,US,403.6825338382062
BR,GB,302.5605887472319
BR,FR,404.68864820977495
BR,ES,426.18171053431513
BR,IT,388.08294700936773
BR,DE,387.8933509111605
BR,MX,310.36123922696135
BR,CA,333.7263612578895
BR,JP,371.2072851368898
BR,NL,423.26497882270155
BR,TH,388.29094853641277
BR,ID,396.72447557761404
BR,MY,395.0472950513704
BR,SG,403.97629364477234
BR,BE,409.2593907837354
BR,AE,404.98090792344067
BR,AU,393.1032255698995
BR,CH,404.64286964523933
BR,PH,391.66886996259785
BR,IE,426.0283755902665
BR,PT,414.1074849728533
BR,AR,398.58319040746767
BR,TR,410.97372670385084
BR,RU,411.4789713137623
BR,KW,411.8899073137857
BR,CN,401.79816683399025
BR,IN,399.19520602012733
BR,HK,404.333137710423
BR,AT,410.85583576196626
TH,US,367.7313719897776
TH,GB,377.76200943676685
TH,FR,432.78764904995603
TH,ES,406.57609203033627
TH,IT,412.8877250890547
TH,DE,422.45728452735455
TH,MX,366.3921261721851
TH,CA,376.2164028869817
TH,JP,473.7971664301015
TH,NL,424.50089311335705
TH,BR,395.2961055937295
TH,ID,488.5521754798789
TH,MY,503.6211647166512
TH,SG,520.0543416141898
TH,BE,409.50372557874124
TH,AE,431.8953351414206
TH,AU,440.67795850338285
TH,CH,410.5907588492108
TH,PH,452.1470248747803
TH,IE,425.2924064079123
TH,PT,420.3507623849573
TH,AR,407.95197219557286
TH,TR,420.9777252284397
TH,RU,420.7275539315509
TH,KW,420.3913466051116
TH,CN,437.78223674001697
TH,IN,422.7581442924468
TH,HK,456.39862234416086
TH,AT,414.1057634500759
ID,US,378.6024359823928
ID,GB,361.95504600805106
ID,FR,435.43070333449896
ID,ES,402.91298562380814
ID,IT,411.82059021883623
ID,DE,418.6680319109366
ID,MX,360.7435611702781
ID,CA,365.60628577822644
ID,JP,489.03558014149087
ID,NL,424.21379168219977
ID,BR,392.3205878382394
ID,TH,521.071732959285
ID,MY,548.9246884836257
ID,SG,551.1664167978088
ID,BE,410.7043831962181
ID,AE,432.5278178753065
ID,AU,452.64198965037394
ID,CH,408.92847266728836
ID,PH,469.34742968678637
ID,IE,421.8164051532265
ID,PT,416.70965458414685
ID,AR,401.61756520957624
ID,TR,422.3706298381952
ID,RU,422.0269566834475
ID,KW,420.4663876775949
ID,CN,447.45404454067096
ID,IN,424.34990250515193
ID,HK,472.14440145256066
ID,AT,417.99342384075203
MY,US,382.4218192618625
