,emit,attract,distance,y
1,5.610716441536654,4.88022284203973,8.625179261194555,3.3555024224000256
2,5.610716441536654,4.45457982735559,8.672170482631147,2.7343675094195836
3,5.610716441536654,4.323602714536165,8.660473140110392,2.0769384114617173
4,5.610716441536654,4.040943785494986,8.838567298967728,2.280339484046726
5,5.610716441536654,4.086648355587631,8.705386554142732,2.225704048658088
6,5.610716441536654,4.090336540824562,8.122386896111298,3.6696966346971625
7,5.610716441536654,3.989724513091998,6.306995086744493,3.6119984097779785
8,5.610716441536654,3.722797672317397,9.292435149396342,2.2965670206684825
9,5.610716441536654,3.6264719939853194,8.676936073993232,1.3297240096314962
10,5.610716441536654,3.459466289786131,8.948236000491397,2.0255131996542803
11,5.610716441536654,3.3734835430946397,9.542761514991604,0.9707789171582248
12,5.610716441536654,3.2950958507796098,9.691551168298433,0.9242589015233319
13,5.610716441536654,3.221272949467922,9.624442616670112,0.29266961396282004
14,5.610716441536654,3.1970391302590264,9.638903516627632,0.6312717768418578
15,5.610716441536654,3.1780538303479458,8.68130179908867,0.4574248470388755
16,5.610716441536654,3.074543453978281,9.308324707412009,0.8919980393051105
17,5.610716441536654,3.109060958860994,9.680893410815699,1.7681496035889213
18,5.610716441536654,3.1188344706879745,8.743896025960073,0.5306282510621704
19,5.610716441536654,3.0763901765714454,9.523748583340472,1.5216989981260935
20,5.610716441536654,3.0349529867072724,8.540463489643258,1.3506671834767394
21,5.610716441536654,2.9601050959108397,8.598808100033917,0.29266961396282004
22,5.610716441536654,2.866761892257031,9.052831733035632,1.000631880307906
23,5.610716441536654,2.714694743820879,8.996001754248718,0.3920420877760237
24,5.610716441536654,2.6490076604684267,8.925051722064698,0.36464311358790924
26,5.610716441536654,2.6658383522929006,9.305076256933194,1.0577902941478545
27,5.610716441536654,2.6878474937846906,9.372612835556854,1.5216989981260935
28,5.610716441536654,2.67000213346468,9.470362126278038,0.2151113796169455
30,5.610716441536654,2.641910398597665,8.978323585314373,0.8064758658669485
31,5.610716441536654,2.6188546222977394,9.311605707176557,0.41871033485818504
33,5.610716441536654,2.449279472144849,8.299328468184548,1.3711807233098425
34,5.610716441536654,2.298577071596507,8.751925813654944,0.35065687161316933
35,5.610716441536654,2.1138429683971682,9.440000301753328,0.9001613499442714
36,5.610716441536654,2.3263016196113617,9.436083666028871,0.27763173659827955
38,5.610716441536654,2.272125885509337,8.730996066625051,0.14842000511827322
