Source,Target,Weight
US,HK,1.24
GB,HK,0.44
FR,HK,0.2
ES,HK,0.1
IT,HK,0.08
DE,HK,0.16
CA,HK,0.16
JP,HK,1.44
BR,HK,0.06
TH,HK,1.5
ID,HK,0.9
MY,HK,0.64
SG,HK,1.06
BE,HK,0.02
AE,HK,0.16
AU,HK,0.72
CH,HK,0.06
PH,HK,2.32
TR,HK,0.02
RU,HK,0.06
KW,HK,0.14
CN,HK,1.54
IN,HK,0.24
HK,US,0.84
HK,GB,0.36
HK,FR,0.24
HK,ES,0.04
HK,IT,0.08
HK,DE,0.14
HK,CA,0.18
HK,JP,1.7
HK,NL,0.04
HK,BR,0.04
HK,TH,1.14
HK,ID,0.68
HK,MY,0.4
HK,SG,0.66
HK,AE,0.12
HK,AU,0.5
HK,CH,0.08
HK,PH,1.84
HK,RU,0.12
HK,KW,0.02
HK,CN,1.3
HK,IN,0.16
HK,AT,0.02
AT,HK,0.04
