Source,Target,Weight
US,RU,1.44
GB,RU,1.12
FR,RU,0.68
ES,RU,0.48
IT,RU,0.44
DE,RU,0.7
MX,RU,0.66
CA,RU,0.28
JP,RU,0.28
NL,RU,0.32
BR,RU,0.48
TH,RU,0.28
ID,RU,0.26
MY,RU,0.16
SG,RU,0.24
BE,RU,0.3
AE,RU,0.24
AU,RU,0.14
CH,RU,0.12
PH,RU,0.38
IE,RU,0.04
PT,RU,0.06
AR,RU,0.22
TR,RU,0.42
RU,US,1.94
RU,GB,1.04
RU,FR,0.88
RU,ES,0.82
RU,IT,0.98
RU,DE,1.26
RU,MX,0.72
RU,CA,0.32
RU,JP,0.36
RU,NL,0.64
RU,BR,0.46
RU,TH,0.48
RU,ID,0.3
RU,MY,0.1
RU,SG,0.04
RU,BE,0.4
RU,AE,0.28
RU,AU,0.22
RU,CH,0.1
RU,PH,0.46
RU,IE,0.08
RU,PT,0.14
RU,AR,0.1
RU,TR,0.96
RU,KW,0.1
RU,CN,0.5
RU,IN,0.12
RU,HK,0.06
RU,AT,0.16
KW,RU,0.12
CN,RU,0.54
IN,RU,0.18
HK,RU,0.12
AT,RU,0.06
