source,target,weight,time
0,1,18,0
0,2,15,0
0,3,5,0
0,4,4,0
0,5,15,0
0,6,19,0
0,7,29,0
0,8,7,0
0,9,1,0
0,10,15,0
0,12,2,0
0,15,5,0
0,16,9,0
0,17,6,0
0,18,1,0
0,19,3,0
0,20,6,0
0,21,3,0
0,22,1,0
0,23,1,0
0,25,2,0
0,26,2,0
0,27,4,0
0,28,4,0
1,3,2,0
2,0,10,0
2,1,1,0
2,2,3,0
2,4,4,0
2,6,3,0
2,9,2,0
2,10,1,0
2,15,4,0
2,18,2,0
2,23,3,0
2,27,5,0
2,29,3,0
3,2,2,0
3,4,2,0
3,5,1,0
3,9,2,0
4,0,12,0
4,1,4,0
4,3,4,0
4,4,9,0
4,5,3,0
4,6,2,0
4,7,2,0
4,12,1,0
4,13,2,0
4,15,2,0
4,18,3,0
4,20,4,0
4,21,1,0
4,23,2,0
5,0,1,0
6,0,7,0
6,2,1,0
6,3,1,0
7,0,16,0
7,9,1,0
7,22,2,0
9,0,2,0
9,2,3,0
9,8,3,0
9,13,5,0
9,14,12,0
9,17,4,0
9,24,2,0
9,28,1,0
10,0,14,0
10,5,1,0
10,11,13,0
10,12,3,0
10,13,3,0
10,14,2,0
10,16,2,0
10,19,1,0
10,28,1,0
11,0,2,0
11,1,1,0
12,0,18,0
12,2,12,0
12,3,6,0
12,4,3,0
12,5,6,0
12,9,2,0
12,13,3,0
12,15,2,0
12,20,6,0
12,23,1,0
12,27,3,0
12,29,4,0
14,0,26,0
14,1,2,0
14,3,2,0
14,7,1,0
14,10,1,0
14,20,1,0
15,0,2,0
15,1,1,0
16,0,4,0
16,9,2,0
16,12,3,0
16,14,1,0
16,17,2,0
16,26,2,0
16,28,3,0
17,0,6,0
17,1,11,0
17,2,3,0
17,4,6,0
17,9,5,0
17,15,4,0
17,17,2,0
17,22,2,0
17,23,1,0
18,0,2,0
18,7,1,0
18,8,2,0
18,11,3,0
18,19,1,0
18,26,3,0
20,0,1,0
20,1,1,0
20,8,2,0
20,11,2,0
21,0,6,0
21,1,3,0
21,2,2,0
21,5,1,0
21,7,1,0
21,11,3,0
21,12,2,0
21,13,2,0
21,14,4,0
21,16,1,0
21,19,3,0
21,25,2,0
22,0,29,0
22,2,2,0
22,6,3,0
22,12,3,0
22,15,2,0
22,27,3,0
24,0,2,0
24,1,5,0
24,2,7,0
24,3,1,0
24,18,2,0
24,23,2,0
24,29,2,0
25,1,1,0
25,2,2,0
25,4,3,0
25,5,2,0
25,9,1,0
25,17,1,0
26,1,2,0
26,7,2,0
26,8,14,0
26,13,2,0
26,14,4,0
26,15,3,0
26,17,1,0
26,26,2,0
26,28,3,0
27,0,3,0
27,1,1,0
27,3,1,0
27,10,1,0
27,12,2,0
