source,target,weight,time
0,1,6,0
0,2,12,0
0,3,3,0
0,4,1,0
0,5,1,0
0,6,10,0
0,7,18,0
0,8,7,0
0,15,4,0
0,16,1,0
0,19,3,0
0,20,2,0
0,21,3,0
0,23,1,0
0,25,2,0
2,0,1,0
2,4,3,0
2,6,3,0
2,9,2,0
2,10,1,0
2,15,3,0
2,18,2,0
2,23,3,0
2,27,1,0
3,2,1,0
3,4,1,0
3,9,2,0
4,0,7,0
4,1,2,0
4,4,5,0
4,5,1,0
4,6,2,0
4,7,2,0
4,12,1,0
4,15,1,0
4,18,1,0
4,23,2,0
5,0,1,0
6,0,6,0
6,3,1,0
7,9,1,0
7,22,2,0
9,0,2,0
9,2,1,0
9,8,3,0
9,13,2,0
9,14,8,0
9,17,2,0
9,24,2,0
9,28,1,0
10,0,10,0
10,11,12,0
10,12,3,0
10,13,1,0
10,16,2,0
10,28,1,0
11,0,1,0
11,1,1,0
12,0,10,0
12,2,7,0
12,3,2,0
12,4,3,0
12,5,4,0
12,13,2,0
12,15,2,0
12,20,2,0
12,23,1,0
14,0,9,0
14,3,2,0
14,7,1,0
14,10,1,0
14,20,1,0
16,0,3,0
16,9,2,0
16,17,2,0
16,26,2,0
16,28,1,0
17,0,3,0
17,1,8,0
17,4,6,0
17,9,4,0
17,15,2,0
17,23,1,0
18,7,1,0
18,8,1,0
18,26,2,0
20,1,1,0
20,8,2,0
20,11,2,0
21,0,1,0
21,1,3,0
21,5,1,0
21,12,1,0
21,14,4,0
21,16,1,0
21,19,2,0
22,0,14,0
22,2,2,0
22,12,2,0
24,1,2,0
24,2,3,0
24,3,1,0
24,18,2,0
24,29,2,0
25,1,1,0
25,2,2,0
25,4,2,0
25,5,2,0
25,9,1,0
25,17,1,0
26,7,2,0
26,8,12,0
26,13,1,0
26,14,4,0
26,15,2,0
26,28,2,0
27,0,3,0
27,12,2,0
27,15,1,0
28,17,3,0
29,19,2,0
29,28,1,0
0,1,12,1
0,2,3,1
0,3,2,1
0,4,3,1
0,5,14,1
0,6,9,1
0,7,11,1
0,9,1,1
0,10,15,1
0,12,2,1
0,15,1,1
0,16,8,1
0,17,6,1
0,18,1,1
0,20,4,1
0,22,1,1
0,26,2,1
0,27,4,1
0,28,4,1
1,3,2,1
2,0,9,1
2,1,1,1
2,2,3,1
2,4,1,1
2,15,1,1
2,27,4,1
2,29,3,1
3,2,1,1
3,4,1,1
3,5,1,1
4,0,5,1
4,1,2,1
4,3,4,1
4,4,4,1
4,5,2,1
4,13,2,1
4,15,1,1
4,18,2,1
4,20,4,1
4,21,1,1
6,0,1,1
6,2,1,1
7,0,16,1
9,2,2,1
9,13,3,1
9,14,4,1
9,17,2,1
10,0,4,1
10,5,1,1
10,11,1,1
10,13,2,1
10,14,2,1
10,19,1,1
11,0,1,1
12,0,8,1
12,2,5,1
12,3,4,1
12,5,2,1
12,9,2,1
12,13,1,1
12,20,4,1
12,27,3,1
12,29,4,1
14,0,17,1
14,1,2,1
15,0,2,1
15,1,1,1
16,0,1,1
16,12,3,1
16,14,1,1
16,28,2,1
17,0,3,1
17,1,3,1
17,2,3,1
17,9,1,1
17,15,2,1
17,17,2,1
17,22,2,1
18,0,2,1
18,8,1,1
18,11,3,1
18,19,1,1
18,26,1,1
20,0,1,1
21,0,5,1
21,2,2,1
21,7,1,1
21,11,3,1
21,12,1,1
21,13,2,1
21,19,1,1
21,25,2,1
22,0,15,1
22,6,3,1
22,12,1,1
22,15,2,1
22,27,3,1
24,0,2,1
24,1,3,1
24,2,4,1
24,23,2,1
25,4,1,1
26,1,2,1
26,8,2,1
26,13,1,1
26,15,1,1
26,17,1,1
26,26,2,1
26,28,1,1
27,1,1,1
27,3,1,1
27,10,1,1
28,17,4,1
29,0,2,1
0,1,10,2
0,3,3,2
0,4,7,2
0,5,3,2
