Source,Target,Weight
US,GB,7.165
US,FR,3.85
US,ES,1.995
US,IT,2.45
US,DE,2.315
US,MX,9.815
US,CA,9.27
US,JP,2.485
US,NL,0.945
US,BR,1.9
US,TH,0.66
US,ID,0.63
US,MY,0.335
US,SG,0.47
US,BE,0.395
US,AE,0.61
US,AU,1.465
US,CH,0.425
US,PH,1.145
US,IE,0.965
US,PT,0.335
US,AR,0.68
US,TR,0.37
US,RU,0.36
US,KW,0.24
US,CN,0.72
US,IN,1.155
US,HK,0.31
US,AT,0.245
US,GR,0.56
US,KR,0.38
US,SA,0.17
US,CO,0.985
US,SE,0.355
US,ZA,0.615
US,TW,0.33
US,CZ,0.17
US,DK,0.29
US,CL,0.355
US,NO,0.615
US,PE,0.41
US,PL,0.285
US,NZ,0.325
US,EG,0.25
US,VN,0.19
US,QA,0.135
US,HU,0.14
US,DO,0.975
US,MA,0.185
US,IS,0.685
US,FI,0.25
US,HR,0.26
US,CR,0.61
US,BH,0.03
US,LU,0.8
US,BS,1.175
US,IL,0.34
US,UY,0.07
US,CU,0.65
US,VE,0.265
US,UA,0.08
US,JM,0.695
US,VA,0.075
US,EC,0.275
US,PA,0.2
US,CY,0.015
US,NG,0.335
US,JO,0.055
US,PY,0.03
US,RS,0.08
US,RO,0.17
US,LK,0.055
US,CD,0.13
US,KE,0.11
US,BG,0.055
US,MC,0.045
US,KH,0.06
US,MM,0.085
US,LB,0.05
US,LV,0.035
US,SI,0.06
US,PK,0.135
US,OM,0.03
US,HN,0.25
US,BB,0.305
US,GU,0.405
US,BD,0.11
US,BO,0.035
US,TZ,0.08
US,AW,0.21
US,SK,0.045
US,IR,0.08
US,EE,0.03
US,GH,0.105
US,GE,0.05
US,BA,0.04
US,MT,0.005
US,ZW,0.03
US,SY,0.05
US,AZ,0.02
US,GT,0.14
US,SV,0.075
US,MV,0.07
US,ET,0.07
US,BW,0.02
US,NP,0.06
US,PR,0.29
US,ME,0.03
US,DZ,0.02
US,KY,0.215
US,LT,0.01
US,BZ,0.175
US,TT,0.145
US,TC,0.17
US,NI,0.115
US,IQ,0.005
US,SX,0.135
US,CW,0.1
US,UG,0.04
US,TN,0.03
US,HT,0.115
US,KZ,0.005
US,MK,0.04
US,AG,0.04
US,GP,0.03
US,RW,0.025
US,AM,0.005
US,MQ,0.035
US,LC,0.03
US,PF,0.115
US,SC,0.015
US,SN,0.01
US,GL,0.01
US,ZM,0.01
US,AL,0.005
US,BM,0.06
US,AF,0.015
US,CI,0.015
US,VG,0.075
US,UZ,0.015
US,MF,0.025
US,NE,0.01
US,BT,0.01
US,VI,0.07
US,KN,0.035
