Source,Target,date
DE,CH,2017.6.29 19:21
CH,DE,2017.7.1 09:43
DE,MT,2019.4.13 13:58
US,CR,2019.1.5 00:21
PH,ES,2019.1.22 00:35
ES,HK,2019.1.24 08:08
HK,PH,2019.2.2 10:32
US,GB,2018.11.28 11:11
GB,US,2018.11.28 11:31
US,GB,2018.11.28 11:31
GB,HR,2018.11.29 10:50
HR,GB,2018.12.4 14:59
GB,US,2018.12.5 00:02
PH,TW,2018.7.11 10:45
TW,PH,2018.7.12 04:03
TH,CN,2016.12.8 23:25
NZ,PH,2017.10.2 12:49
PH,AU,2017.10.2 21:34
CA,AU,2018.6.15 18:54
US,NL,2018.5.23 04:50
US,TR,2017.5.22 03:34
TR,NO,2017.5.22 12:03
BR,US,2018.11.2 16:59
JP,GB,2017.1.23 12:02
GB,ES,2017.4.5 08:46
IN,HK,2018.7.12 09:33
HK,IN,2018.7.12 13:09
IN,HK,2018.7.13 02:14
HK,IN,2018.7.13 05:18
GB,SE,2018.8.10 13:53
US,CN,2015.5.31 23:03
MD,IT,2018.7.30 13:27
IT,US,2018.10.12 09:10
HK,KR,2017.8.2 06:05
KR,HK,2017.8.7 08:29
HK,KR,2017.8.8 15:36
TR,US,2016.5.22 03:24
US,TR,2016.5.22 05:04
TR,US,2016.5.22 20:32
US,TR,2016.5.22 20:44
TR,US,2016.5.24 05:40
US,TR,2016.5.24 09:11
GB,ES,2018.5.12 21:49
ES,GB,2018.5.23 18:25
US,MX,2016.2.27 21:16
MX,US,2016.3.4 00:14
US,MX,2016.3.8 04:10
MX,US,2016.3.10 16:24
SG,ID,2017.10.24 13:41
ID,SG,2017.10.25 09:10
ID,QA,2016.8.1 14:32
QA,AZ,2016.8.1 14:42
AZ,ID,2016.8.2 01:31
ID,AZ,2016.8.2 01:46
AZ,ID,2016.8.17 14:47
SG,AU,2018.4.28 07:13
DE,SE,2016.7.12 18:30
SE,DE,2016.7.15 14:42
DE,SE,2016.7.15 18:12
SE,DE,2016.7.16 20:33
DE,SE,2016.7.17 14:51
SE,DE,2016.7.18 15:36
DE,SE,2016.7.18 18:26
MY,EG,2019.2.8 19:27
EG,IN,2019.2.15 19:18
IN,EG,2019.2.18 19:41
GB,FR,2017.2.7 11:07
FR,GB,2017.2.8 15:28
ES,GB,2015.12.6 18:52
GB,ES,2015.12.10 20:08
GB,AU,2018.8.25 16:41
AU,GB,2018.8.29 08:42
GB,FR,2018.8.30 11:06
FR,GB,2018.8.30 18:41
MY,ID,2018.6.10 05:07
BR,DO,2017.4.21 15:14
DO,US,2017.4.25 18:58
TT,JM,2015.11.26 00:51
ZA,IN,2017.12.20 09:24
US,JM,2016.12.12 03:05
JM,US,2016.12.12 03:11
US,JM,2016.12.13 04:18
GB,US,2019.3.18 19:07
US,GB,2019.3.19 19:17
FR,JO,2019.4.25 06:37
JO,FR,2019.5.5 18:31
US,ES,2018.8.6 01:23
ES,MA,2018.8.10 23:06
MA,GB,2018.8.18 20:57
GB,US,2018.8.27 01:08
US,MX,2019.2.16 22:08
MX,US,2019.2.17 23:30
GB,HU,2018.11.13 07:09
HU,GB,2018.11.14 05:55
GB,HU,2018.11.14 11:14
HU,GB,2018.11.17 11:04
US,VN,2018.12.31 04:32
VN,HK,2019.1.13 00:02
HK,VN,2019.1.13 01:00
FR,GB,2018.11.28 19:20
BR,PE,2017.12.27 12:57
PE,BR,2017.12.28 01:54
BR,PE,2017.12.28 02:27
PE,BR,2017.12.28 14:40
BR,MX,2017.12.29 12:13
GB,ES,2016.8.10 11:39
US,FR,2018.8.26 05:18
FR,US,2018.8.28 05:01
US,GB,2018.9.9 20:07
GB,US,2018.9.10 00:07
US,SE,2018.9.13 14:34
SE,US,2018.9.17 16:15
GB,FR,2018.12.15 10:56
FR,NL,2018.12.21 10:36
NL,FR,2018.12.27 14:39
AR,US,2018.3.25 00:18
NL,IS,2018.7.15 21:16
IS,US,2018.7.21 13:51
NL,IT,2019.10.5 11:00
IT,BE,2019.10.8 07:18
BE,NL,2019.10.11 15:27
NL,AE,2019.10.13 08:00
BR,IN,2018.11.20 11:48
US,MX,2018.7.29 12:20
MX,US,2018.8.4 05:14
US,MX,2018.9.4 01:30
MX,US,2018.9.4 20:59
US,MX,2018.9.8 13:30
MX,US,2018.9.16 14:32
US,MX,2018.10.4 10:25
MX,US,2018.10.6 09:58
US,MX,2018.10.28 10:35
MX,US,2018.11.3 12:57
US,MX,2018.11.9 06:14
MX,US,2018.12.19 20:50
US,MX,2019.1.14 10:01
MX,US,2019.1.18 20:02
US,MX,2019.1.25 00:48
MX,US,2019.1.25 01:32
US,MX,2019.1.29 05:24
MX,US,2019.1.29 22:51
US,MX,2019.3.8 21:54
MX,US,2019.3.14 06:15
US,MX,2019.3.17 21:22
MX,US,2019.3.19 19:58
US,MX,2019.3.24 05:57
MX,US,2019.3.29 17:50
US,MX,2019.4.1 05:06
MX,US,2019.4.1 18:07
US,MX,2019.4.3 23:35
MX,US,2019.4.9 06:47
