Source,Target,Weight
DE,MY,0
DE,SG,0.01150748
DE,TH,0.02301496
DE,ID,0.03452244
FR,US,0.046029919
AT,FR,0.057537399
DE,JP,0.069044879
GB,US,0.080552359
IT,ES,0.092059839
MX,CA,0.103567319
RU,MX,0.115074799
CH,GB,0.126582278
FR,MX,0.138089758
TR,ES,0.149597238
DE,PH,0.161104718
TR,IE,0.172612198
DE,HK,0.184119678
CN,IT,0.195627158
ID,ES,0.207134638
NL,MX,0.218642117
AT,NL,0.230149597
AT,GB,0.241657077
HK,FR,0.253164557
FR,CA,0.264672037
ES,MX,0.276179517
IN,GB,0.287686997
NL,GB,0.299194476
PT,TH,0.310701956
ES,CA,0.322209436
PT,ID,0.333716916
DE,FR,0.345224396
TR,DE,0.356731876
PH,GB,0.368239356
CN,MX,0.379746835
MX,GB,0.391254315
ES,IE,0.402761795
ID,GB,0.414269275
AT,IT,0.425776755
TR,MX,0.437284235
BR,US,0.448791715
DE,AU,0.460299194
CN,ES,0.471806674
KW,RU,0.483314154
MX,US,0.494821634
SG,AE,0.506329114
DE,CN,0.517836594
BR,DE,0.529344074
IN,NL,0.540851554
HK,ES,0.552359033
AR,GB,0.563866513
AT,ES,0.575373993
CH,AE,0.586881473
ES,US,0.598388953
TR,IT,0.609896433
SG,BR,0.621403913
CA,DE,0.632911392
TR,AE,0.644418872
TR,NL,0.655926352
KW,FR,0.667433832
RU,ID,0.678941312
CH,AR,0.690448792
ID,BE,0.701956272
AT,TR,0.713463751
ES,FR,0.724971231
JP,GB,0.736478711
PH,NL,0.747986191
TR,FR,0.759493671
CH,PT,0.771001151
IN,BE,0.782508631
BE,FR,0.79401611
BE,ES,0.80552359
RU,GB,0.81703107
HK,AT,0.82853855
SG,GB,0.84004603
AT,HK,0.85155351
AT,MY,0.86306099
CN,BE,0.87456847
AT,RU,0.886075949
HK,CA,0.897583429
PH,CH,0.909090909
SG,IE,0.920598389
KW,ES,0.932105869
RU,HK,0.943613349
RU,CN,0.955120829
CA,BE,0.966628308
CN,NL,0.978135788
CN,IE,0.989643268
IE,AE,1.001150748
CH,IT,1.012658228
HK,AU,1.024165708
AT,CH,1.035673188
PT,US,1.047180667
SG,AU,1.058688147
ID,IT,1.070195627
HK,IE,1.081703107
KW,CN,1.093210587
PH,JP,1.104718067
HK,RU,1.116225547
BR,MX,1.127733026
RU,AU,1.139240506
BE,US,1.150747986
CA,GB,1.162255466
PT,GB,1.173762946
CH,ES,1.185270426
NL,US,1.196777906
IN,MX,1.208285386
KW,AE,1.219792865
FR,JP,1.231300345
CN,JP,1.242807825
KW,MY,1.254315305
DE,AE,1.265822785
PT,IT,1.277330265
CN,GB,1.288837745
CN,MY,1.300345224
SG,TR,1.311852704
IT,IE,1.323360184
BE,DE,1.334867664
AT,TH,1.346375144
AT,IE,1.357882624
ID,NL,1.369390104
IN,CN,1.380897583
ES,AU,1.392405063
PH,AT,1.403912543
CH,DE,1.415420023
ID,CA,1.426927503
CH,TR,1.438434983
TR,SG,1.449942463
MY,PH,1.461449942
IT,JP,1.472957422
MY,BE,1.484464902
PT,IE,1.495972382
BE,AT,1.507479862
IT,CH,1.518987342
TH,CA,1.530494822
BE,NL,1.542002301
KW,MX,1.553509781
PH,BR,1.565017261
DE,IN,1.576524741
AU,MX,1.588032221
AR,CN,1.599539701
CH,KW,1.611047181
AR,DE,1.622554661
IN,IT,1.63406214
RU,MY,1.64556962
RU,CH,1.6570771
HK,PH,1.66858458
KW,IE,1.68009206
AT,ID,1.69159954
HK,IN,1.70310702
SG,US,1.714614499
AR,US,1.726121979
SG,JP,1.737629459
IT,SG,1.749136939
IN,US,1.760644419
HK,MX,1.772151899
IT,MY,1.783659379
ID,IE,1.795166858
IT,ID,1.806674338
MY,CH,1.818181818
IE,PH,1.829689298
SG,IN,1.841196778
KW,CA,1.852704258
SG,IT,1.864211738
RU,TH,1.875719217
PH,MY,1.887226697
IT,BE,1.898734177
IT,TH,1.910241657
IN,CH,1.921749137
IE,MX,1.933256617
AT,SG,1.944764097
SG,KW,1.956271577
PH,US,1.967779056
PH,BE,1.979286536
SG,TH,1.990794016
CH,TH,2.002301496
NL,IT,2.013808976
HK,PT,2.025316456
PT,ES,2.036823936
CN,TR,2.048331415
FR,BR,2.059838895
TH,GB,2.071346375
AT,CN,2.082853855
AR,ID,2.094361335
IT,DE,2.105868815
FR,PH,2.117376295
DE,IT,2.128883774
NL,JP,2.140391254
AR,FR,2.151898734
CA,IN,2.163406214
DE,PT,2.174913694
TH,CH,2.186421174
MY,AU,2.197928654
CH,BE,2.209436133
PT,PH,2.220943613
NL,MY,2.232451093
SG,CN,2.243958573
DE,KW,2.255466053
ES,BR,2.266973533
PT,KW,2.278481013
ES,JP,2.289988493
PH,RU,2.301495972
HK,CN,2.313003452
JP,MX,2.324510932
CH,NL,2.336018412
BE,CH,2.347525892
RU,BR,2.359033372
HK,AE,2.370540852
RU,AE,2.382048331
PT,AT,2.393555811
CH,RU,2.405063291
CN,AU,2.416570771
RU,AR,2.428078251
NL,AR,2.439585731
AR,PH,2.451093211
MX,SG,2.46260069
IT,AU,2.47410817
GB,ES,2.48561565
FR,ID,2.49712313
AR,BR,2.50863061
PT,MX,2.52013809
JP,BR,2.53164557
ES,KW,2.543153049
IE,AU,2.554660529
CN,AE,2.566168009
ES,TH,2.577675489
SG,ID,2.589182969
TR,KW,2.600690449
IT,HK,2.612197929
NL,AU,2.623705409
RU,AT,2.635212888
AE,CA,2.646720368
CA,RU,2.658227848
MX,ID,2.669735328
JP,US,2.681242808
IN,IE,2.692750288
MY,CN,2.704257768
SG,HK,2.715765247
RU,NL,2.727272727
IT,BR,2.738780207
AT,US,2.750287687
FR,AR,2.761795167
DE,NL,2.773302647
JP,CH,2.784810127
IE,TR,2.796317606
AR,RU,2.807825086
HK,NL,2.819332566
CN,PT,2.830840046
HK,KW,2.842347526
NL,HK,2.853855006
BE,HK,2.865362486
BE,MY,2.876869965
ID,KW,2.888377445
MX,MY,2.899884925
BR,HK,2.911392405
BE,CN,2.922899885
ES,CN,2.934407365
IT,AE,2.945914845
ES,AE,2.957422325
AR,KW,2.968929804
CN,AR,2.980437284
IT,NL,2.991944764
ID,AT,3.003452244
ES,IN,3.014959724
AE,PT,3.026467204
BR,GB,3.037974684
PH,IE,3.049482163
IN,JP,3.060989643
AU,CA,3.072497123
FR,SG,3.084004603
DE,IE,3.095512083
AT,DE,3.107019563
JP,PH,3.118527043
IT,CA,3.130034522
