Id,Label,timeset,modularity_class,weighted indegree,weighted outdegree,Weighted Degree
US,US,,3,133,153,286
EC,EC,,3,6,3,9
CH,CH,,1,19,14,33
FR,FR,,1,35,33,68
VE,VE,,3,7,4,11
CO,CO,,3,8,7,15
ID,ID,,0,5,15,20
JP,JP,,0,21,25,46
ZA,ZA,,2,17,11,28
GB,GB,,1,59,67,126
NG,NG,,2,6,9,15
MX,MX,,3,26,31,57
PH,PH,,0,30,26,56
ES,ES,,1,41,30,71
AU,AU,,2,9,18,27
CA,CA,,3,30,25,55
IT,IT,,1,26,19,45
TR,TR,,0,6,6,12
TH,TH,,0,18,15,33
CN,CN,,3,13,12,25
NL,NL,,1,19,18,37
IN,IN,,2,11,12,23
SE,SE,,1,5,4,9
CL,CL,,4,5,4,9
MY,MY,,0,14,15,29
SG,SG,,0,18,14,32
EG,EG,,5,2,1,3
JM,JM,,3,1,1,2
IE,IE,,1,16,14,30
IS,IS,,3,2,0,2
AE,AE,,5,19,6,25
PL,PL,,1,3,3,6
PR,PR,,3,1,0,1
BS,BS,,3,2,1,3
AW,AW,,3,1,0,1
IL,IL,,3,4,0,4
KE,KE,,3,1,0,1
GU,GU,,3,1,1,2
GH,GH,,2,7,0,7
MV,MV,,3,4,7,11
SK,SK,,1,3,3,6
LU,LU,,3,9,5,14
KY,KY,,3,1,0,1
BB,BB,,3,2,1,3
PF,PF,,3,2,0,2
DE,DE,,1,20,24,44
BE,BE,,1,20,18,38
SI,SI,,1,4,4,8
PT,PT,,1,4,11,15
GR,GR,,1,7,4,11
MA,MA,,1,5,3,8
MM,MM,,1,4,2,6
PA,PA,,3,1,8,9
BR,BR,,4,10,21,31
AR,AR,,4,12,14,26
PE,PE,,4,3,5,8
UY,UY,,4,5,2,7
CD,CD,,4,2,1,3
MT,MT,,1,0,1,1
KR,KR,,0,15,9,24
TW,TW,,0,7,10,17
VN,VN,,0,5,3,8
DK,DK,,1,4,6,10
NP,NP,,0,3,7,10
MU,MU,,2,1,0,1
HK,HK,,0,12,8,20
RU,RU,,0,3,4,7
QA,QA,,2,2,2,4
DO,DO,,3,1,3,4
FI,FI,,5,5,3,8
CY,CY,,0,1,1,2
AL,AL,,1,2,0,2
AT,AT,,1,3,6,9
HR,HR,,1,4,2,6
NZ,NZ,,2,5,0,5
GW,GW,,1,2,0,2
VA,VA,,1,7,4,11
SA,SA,,5,7,17,24
CU,CU,,0,1,0,1
LA,LA,,0,2,1,3
GE,GE,,0,2,0,2
PY,PY,,4,0,2,2
KW,KW,,5,11,16,27
OM,OM,,5,2,2,4
IQ,IQ,,5,1,1,2
BO,BO,,4,5,3,8
BN,BN,,2,2,0,2
BH,BH,,5,4,4,8
LB,LB,,5,4,2,6
UA,UA,,2,1,3,4
CZ,CZ,,1,1,8,9
HU,HU,,1,1,1,2
BG,BG,,1,0,2,2
LT,LT,,5,2,2,4
AO,AO,,4,1,1,2
KH,KH,,0,1,3,4
MO,MO,,0,0,5,5
ZW,ZW,,1,0,2,2
UG,UG,,1,0,1,1
LK,LK,,3,2,0,2
RS,RS,,1,1,0,1
IM,IM,,1,0,3,3
